observation_date,FEDFUNDS
01/01/2007,5.25
01/02/2007,5.26
01/03/2007,5.26
01/04/2007,5.25
01/05/2007,5.25
01/06/2007,5.25
01/07/2007,5.26
01/08/2007,5.02
01/09/2007,4.94
01/10/2007,4.76
01/11/2007,4.49
01/12/2007,4.24
01/01/2008,3.94
01/02/2008,2.98
01/03/2008,2.61
01/04/2008,2.28
01/05/2008,1.98
01/06/2008,2
01/07/2008,2.01
01/08/2008,2
01/09/2008,1.81
01/10/2008,0.97
01/11/2008,0.39
01/12/2008,0.16
01/01/2009,0.15
01/02/2009,0.22
01/03/2009,0.18
01/04/2009,0.15
01/05/2009,0.18
01/06/2009,0.21
01/07/2009,0.16
01/08/2009,0.16
01/09/2009,0.15
01/10/2009,0.12
01/11/2009,0.12
01/12/2009,0.12
01/01/2010,0.11
01/02/2010,0.13
01/03/2010,0.16
01/04/2010,0.2
01/05/2010,0.2
01/06/2010,0.18
01/07/2010,0.18
01/08/2010,0.19
01/09/2010,0.19
01/10/2010,0.19
01/11/2010,0.19
01/12/2010,0.18
01/01/2011,0.17
01/02/2011,0.16
01/03/2011,0.14
01/04/2011,0.1
01/05/2011,0.09
01/06/2011,0.09
01/07/2011,0.07
01/08/2011,0.1
01/09/2011,0.08
01/10/2011,0.07
01/11/2011,0.08
01/12/2011,0.07
01/01/2012,0.08
01/02/2012,0.1
01/03/2012,0.13
01/04/2012,0.14
01/05/2012,0.16
01/06/2012,0.16
01/07/2012,0.16
01/08/2012,0.13
01/09/2012,0.14
01/10/2012,0.16
01/11/2012,0.16
01/12/2012,0.16
01/01/2013,0.14
01/02/2013,0.15
01/03/2013,0.14
01/04/2013,0.15
01/05/2013,0.11
01/06/2013,0.09
01/07/2013,0.09
01/08/2013,0.08
01/09/2013,0.08
01/10/2013,0.09
01/11/2013,0.08
01/12/2013,0.09
01/01/2014,0.07
01/02/2014,0.07
01/03/2014,0.08
01/04/2014,0.09
01/05/2014,0.09
01/06/2014,0.1
01/07/2014,0.09
01/08/2014,0.09
01/09/2014,0.09
01/10/2014,0.09
01/11/2014,0.09
01/12/2014,0.12
01/01/2015,0.11
01/02/2015,0.11
01/03/2015,0.11
01/04/2015,0.12
01/05/2015,0.12
01/06/2015,0.13
01/07/2015,0.13
01/08/2015,0.14
01/09/2015,0.14
01/10/2015,0.12
01/11/2015,0.12
01/12/2015,0.24
01/01/2016,0.34
01/02/2016,0.38
01/03/2016,0.36
01/04/2016,0.37
01/05/2016,0.37
01/06/2016,0.38
01/07/2016,0.39
01/08/2016,0.4
01/09/2016,0.4
01/10/2016,0.4
01/11/2016,0.41
01/12/2016,0.54
01/01/2017,0.65
01/02/2017,0.66
01/03/2017,0.79
01/04/2017,0.9
01/05/2017,0.91
01/06/2017,1.04
01/07/2017,1.15
01/08/2017,1.16
01/09/2017,1.15
01/10/2017,1.15
01/11/2017,1.16
01/12/2017,1.3
01/01/2018,1.41
01/02/2018,1.42
01/03/2018,1.51
01/04/2018,1.69
01/05/2018,1.7
01/06/2018,1.82
01/07/2018,1.91
01/08/2018,1.91
01/09/2018,1.95
01/10/2018,2.19
01/11/2018,2.2
01/12/2018,2.27
01/01/2019,2.4
01/02/2019,2.4
01/03/2019,2.41
01/04/2019,2.42
01/05/2019,2.39
01/06/2019,2.38
01/07/2019,2.4
01/08/2019,2.13
01/09/2019,2.04
01/10/2019,1.83
01/11/2019,1.55
01/12/2019,1.55
01/01/2020,1.55
01/02/2020,1.58
01/03/2020,0.65
01/04/2020,0.05
01/05/2020,0.05
01/06/2020,0.08
01/07/2020,0.09
01/08/2020,0.1
01/09/2020,0.09
01/10/2020,0.09
01/11/2020,0.09
01/12/2020,0.09
01/01/2021,0.09
01/02/2021,0.08
01/03/2021,0.07
01/04/2021,0.07
01/05/2021,0.06
01/06/2021,0.08
01/07/2021,0.1
01/08/2021,0.09
01/09/2021,0.08
01/10/2021,0.08
01/11/2021,0.08
01/12/2021,0.08
01/01/2022,0.08
01/02/2022,0.08
01/03/2022,0.2
01/04/2022,0.33
01/05/2022,0.77
01/06/2022,1.21
01/07/2022,1.68
01/08/2022,2.33
01/09/2022,2.56
01/10/2022,3.08
01/11/2022,3.78
01/12/2022,4.1
01/01/2023,4.33
01/02/2023,4.57
01/03/2023,4.65
01/04/2023,4.83
01/05/2023,5.06
01/06/2023,5.08
01/07/2023,5.12
01/08/2023,5.33
01/09/2023,5.33
01/10/2023,5.33
01/11/2023,5.33
01/12/2023,5.33
01/01/2024,5.33
01/02/2024,5.33
01/03/2024,5.33
01/04/2024,5.33
01/05/2024,5.33
01/06/2024,5.33
01/07/2024,5.33
01/08/2024,5.33
01/09/2024,5.13
01/10/2024,4.83
01/11/2024,4.64
01/12/2024,4.48
01/01/2025,4.33
01/02/2025,4.33
01/03/2025,4.33
01/04/2025,4.33
01/05/2025,4.33
